ï»¿id,clee,nom_estab,raz_social,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,nom_CenCom.1,cod_postal,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,cve_entidad_fk,cve_municipio_fk,codigo_act,Unnamed: 37
8838283,02001112512000434000000000U6,ABULONES CULTIVADOS,ABULONES CULTIVADOS S DE RL DE CV,11 a 30 personas,CALLE,MACHERO,CALLE,TERCETA,CALLE,CUARTA,CALLE,RIBEROL,366.0,11,MAXICOM,PISO 1,,,COLONIA,SECCIÃN PRIMERA,,,,,717,16,,JUANITA.ROMAN@ABULONES.MX,WWW.ABULONESCULTIVADOS.COM,Fijo,31.8621572,-116.6267073,2019-11,2,1,112519,
8346295,02001115113000137000000000U9,AGRICOLA DOS MARES,AGRICOLA DOS MARES SC DE RL,51 a 100 personas,CALLE,SINALOA,CALLE,RODOLFO SÃNCHEZ TABOADA,CALLE,BENITO JUÃREZ,AVENIDA,19 DE MARZO,0.0,SN,,,,,EJIDO,PUNTA COLNETT (PUNTA COLONET),,,,,9956,4,6462109444.0,RHUMANOS@2MARES.COM.MX,,Fijo,31.06657818,-116.2098943,2019-11,2,1,115113,
6166344,02001114119001542001000000U7,AGROMARISMA,AGROMARISMA ,6 a 10 personas,CALLE,ITURBIDE,CALLE,SEGUNDA,CALLE,TERCERA,CALLE,RAYON,284.0,,,,3.0,,COLONIA,OBRERA,,,,22890.0,076A,6,,WWW.AGROMARISMA@HOTMAIL.COM,,Fijo,31.86168362,-116.6113703,2010-07,2,1,114119,
9938978,02001115111000031000000000S8,AGROPROTECCION Y NUTRICION VEGETAL  ,AGRO PROTECCION Y NUTRICION VEGETAL   SA DE CV,0 a 5 personas,AVENIDA,PEDRO LOYOLA,PROLONGACION,ESMERALDA,CALLE,ESMERALDA,AVENIDA,PEDRO LOYOLA,406.0,,ESPACIO 406,PLANTA BAJA,10.0,,FRACCIONAMIENTO,PLAYA HERMOSA,EDIFICIO COMERCIAL Y DE SERVICIOS,ESPACIO 406,ESPACIO 407,22890.0,083A,9,,,,Fijo,31.84588663,-116.6083698,2024-11,2,1,115111,
6166273,02001114119002594001000000U7,ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP,ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP SA DE CV,11 a 30 personas,PROLONGACION,RIO GRIJALVA,CALLE,PASEO DE SERVICIO,AVENIDA,MEXICO,CALLE,ESMERALDA,1034.0,,,,,,COLONIA,COSTA BELLA,,,,,795A,50,,CONTABILIDAD@ALGASFACIFIC.COM,,Fijo,31.84754081,-116.5897045,2014-12,2,1,114119,
6762603,02001114119002671001000000S3,ALMACEN,SCPP PESCADORES NACIONALES DE ABULÃN ,6 a 10 personas,AVENIDA,SOTO,CALLE,JUAN RODRIGUEZ CABRILLO,CALLE,TERCERA,AVENIDA,BALBOA,191.0,,,,,,COLONIA,OBRERA,,,,22830.0,076A,22,,,,Fijo,31.8578433,-116.6076119,2016-10,2,1,114119,
8130649,02001561910000041000038338S1,ALMACEN BAJA PK,BAJA PK SA DE CV,0 a 5 personas,CALLE,NINGUNO,AVENIDA,REVOLUCIÃN,CALLE,NINGUNO,CALLE,NINGUNO,,PARCELA 72,,,,O,EJIDO,RODOLFO SANCHEZ TABOADA MANEADERO,,,,,1096,6,,MLOZANO@BAJAPK.COM.MX,,Fijo,31.72472363,-116.5795718,2019-11,2,1,115119,
8345681,02001115111000011000000000U0,APINCANTU,SERGIO MORENO RODRIGUEZ SOCIEDAD DE PRODUCCION RURAL DE RESPONSAVILIDAD LIMITADA,0 a 5 personas,CALLE,TERCERA,AVENIDA,CORONEL ESTEBAN CANTU,AVENIDA,RAUL PONCE,CALLE,SEGUNDA,0.0,SN,,,,,EJIDO,CORONEL ESTEBAN CANTU,,,,22794.0,6538,15,6462119297.0,APINCANTU@HOTMAIL.COM,,Fijo,31.70491454,-116.642323,2019-11,2,1,115111,
8901346,02001114119003473000000000U3,ASOCIACION ARVI,ASOCIACION ARVI ,6 a 10 personas,CALLE,Bugambilias (Arroyo Aguajito),,Ninguno,,Ninguno,,Ninguno,2367.0,,,,0.0,,COLONIA,MÃRQUES DE LEÃN,,,,22859.0,1043,8,6462101629.0,BISMARKDELSUR@HOTMAIL.COM,,Fijo,31.87331166,-116.5836237,2019-11,2,1,114119,
9045957,02001114119003004000000000U6,ATUNERA PACIFICO NORTE,ATUNERA PACIFICO NORTE SA DE CV,11 a 30 personas,AVENIDA,Ninguno,RETORNO,Ninguno,CALLE,Primera,RETORNO,Ninguno,0.0,SN,,,0.0,,COLONIA,COLINAS DEL MAR,,,,22760.0,7470,1,,CPMIGUELMEZA@HOTMAIL.COM,,Fijo,31.8848756,-116.6863562,2019-11,2,1,114113,
